#=MarketMaker,EventSymbol,EventTime,ExchangeCode,MarketMaker,BidTime,BidPrice,BidSize,BidCount,AskTime,AskPrice,AskSize,AskCount
MarketMaker,AAPL,20190807-065959.999-0500,Q,AEXG,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-065959.999-0500,Q,ADAM,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0,EventFlags=SNAPSHOT_END
MarketMaker,AAPL,20190807-075959.999-0500,Q,XGWD,20190806-150007-0500,188.69,0,0,20190806-150007-0500,204.42,0,0,EventFlags=SNAPSHOT_BEGIN
MarketMaker,AAPL,20190807-075959.999-0500,Q,WSEA,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,WEDB,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,WCHV,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,WBLR,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,WABR,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,VIRT,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,VERT,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,VALX,20190807-080000-0500,186.41,100,0,20190807-080000-0500,204.29,100,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,UBSS,20190806-150008-0500,196.7,0,0,20190806-150008-0500,197.28,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,TSSM,20190807-075658-0500,155.85,200,0,20190807-075658-0500,233.95,200,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,SUFI,20190806-150007-0500,188.68,0,0,20190806-150007-0500,204.48,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,STXG,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,STFL,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,SSUS,20190806-150007-0500,188.66,0,0,20190806-150007-0500,204.48,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,SPHN,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,SOHO,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,SGAS,20190807-075540-0500,160.94,0,0,20190807-075540-0500,229.34,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,RILY,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,RHCO,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,RBCM,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,RAJA,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,PUMA,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,PIPR,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,OHOS,20190807-080013-0500,155.77,200,0,20190807-080013-0500,233.77,200,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,NSDQ,20190807-080057-0500,194.69,50,0,20190807-080057-0500,194.79,300,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,NITE,20190807-071715-0500,0.01,100,0,20190807-071714-0500,196.04,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,NEED,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,NATL,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,MZHO,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,MSCO,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,MLCO,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,MAXM,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,LEHM,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,LEER,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,KEYB,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,JSSF,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,JPMS,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,JEFF,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,INTL,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,IMCC,20190806-150006-0500,191.06,0,0,20190806-150006-0500,202.89,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,GTSM,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,GSCO,20190806-150007-0500,191.08,0,0,20190806-150007-0500,200.26,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,ETMM,20190806-150007-0500,188.67,0,0,20190806-150007-0500,204.48,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,DADA,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,CTDL,20190806-150007-0500,184.55,0,0,20190806-150007-0500,206.27,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,CSTI,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,COWN,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,CDRG,20190806-150007-0500,184.81,0,0,20190806-150007-0500,206.27,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,CANT,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,BMOC,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,BARD,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,AEXG,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0
MarketMaker,AAPL,20190807-075959.999-0500,Q,ADAM,20190806-150008-0500,180.85,0,0,20190806-150008-0500,212.31,0,0,EventFlags=SNAPSHOT_END
MarketMaker,AAPL,20190807-082959.999-0500,Q,XGWD,20190807-082941-0500,187.11,100,0,20190807-082941-0500,203.06,100,0,EventFlags=SNAPSHOT_BEGIN
MarketMaker,AAPL,20190807-082959.999-0500,Q,WSEA,20190807-082000-0500,155.44,100,0,20190807-082000-0500,233.4,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,WEDB,20190807-083008-0500,155.84,100,0,20190807-083008-0500,233.8,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,WCHV,20190807-083008-0500,155.66,100,0,20190807-083008-0500,233.74,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,WBLR,20190807-083008-0500,155.62,100,0,20190807-083008-0500,233.74,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,WABR,20190807-083008-0500,157.07,100,0,20190807-083008-0500,235.74,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,VIRT,20190807-082959-0500,156.39,100,0,20190807-082959-0500,234.58,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,VERT,20190807-083008-0500,155.76,100,0,20190807-083008-0500,234,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,VALX,20190807-080000-0500,186.41,100,0,20190807-080000-0500,204.29,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,UBSS,20190807-083017-0500,156.31,100,0,20190807-083017-0500,234.57,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,TSSM,20190807-075658-0500,155.85,200,0,20190807-075658-0500,233.95,200,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,SUFI,20190807-082830-0500,186.93,100,0,20190807-082830-0500,202.8,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,STXG,20190807-083008-0500,155.62,100,0,20190807-083008-0500,233.74,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,STFL,20190807-083008-0500,155.62,100,0,20190807-083008-0500,233.74,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,SSUS,20190807-082837-0500,186.97,100,0,20190807-082837-0500,202.79,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,SPHN,20190807-083008-0500,155.62,100,0,20190807-083008-0500,233.74,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,SOHO,20190807-082848-0500,155.84,100,0,20190807-082848-0500,233.98,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,SGAS,20190807-083006-0500,183.69,200,0,20190807-083006-0500,207.23,200,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,RILY,20190807-083008-0500,155.62,100,0,20190807-083008-0500,233.74,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,RHCO,20190807-083008-0500,155.62,100,0,20190807-083008-0500,233.74,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,RBCM,20190807-083008-0500,155.53,100,0,20190807-083008-0500,233.6,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,RAJA,20190807-083008-0500,157.07,100,0,20190807-083008-0500,235.74,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,PUMA,20190807-083008-0500,155.62,100,0,20190807-083008-0500,233.74,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,PIPR,20190807-081500-0500,155.23,100,0,20190807-081500-0500,233.28,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,OHOS,20190807-080013-0500,155.77,200,0,20190807-080013-0500,233.77,200,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,NSDQ,20190807-083059-0500,195.59,200,0,20190807-083059-0500,195.63,107,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,NITE,20190807-083008-0500,155.79,100,0,20190807-083008-0500,233.98,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,NEED,20190807-083008-0500,155.86,100,0,20190807-083008-0500,233.98,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,NATL,20190807-083008-0500,155.77,100,0,20190807-083008-0500,233.91,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,MZHO,20190807-081500-0500,155.23,100,0,20190807-081500-0500,232.98,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,MSCO,20190807-082501-0500,155.62,100,0,20190807-081501-0500,232.98,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,MLCO,20190807-083008-0500,157.07,100,0,20190807-083008-0500,235.74,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,MAXM,20190807-083008-0500,155.62,100,0,20190807-083008-0500,233.74,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,LEHM,20190807-083008-0500,156.04,100,0,20190807-083008-0500,234.37,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,LEER,20190807-083008-0500,155.62,100,0,20190807-083008-0500,233.74,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,KEYB,20190807-083008-0500,157.07,100,0,20190807-083008-0500,235.74,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,JSSF,20190807-083008-0500,155.62,100,0,20190807-083008-0500,233.74,100,0
MarketMaker,AAPL,20190807-082959.999-0500,Q,JPMS,20190807-083008-0500,155.23,100,0,20190807-083008-0500,233.28,100,0
